STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT16,WT18,WT21,WT22,WV03,EXTRM
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",04-04-2000,11.41,1631,1651,0,0,0,61,73,49,290,290,0,23,28,1,,,,,,,,,,1,,1,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",05-04-2000,4.92,857,906,0,0,0,53,67,38,40,360,0,15,19.9,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",06-04-2000,4.25,1639,1639,0,0,0,58,78,38,240,240,0,16.1,19.9,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",07-04-2000,6.04,1732,1728,0,0,0,63,79,47,140,140,0,17.9,21.9,1,,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",08-04-2000,11.18,1633,1632,0.29,0,0,65,83,46,330,330,0,34.9,42.9,1,,1,,,,,,,,1,,1,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",09-04-2000,5.82,824,130,0,0,0,52,67,37,10,330,0,17,23,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",10-04-2000,5.14,1715,1452,0,0,0,55,73,37,120,130,0,16.1,25.9,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",11-04-2000,5.59,1533,1708,0,0,0,64,78,49,120,120,0,17,19.9,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",12-04-2000,5.37,1555,1623,0,0,0,68,81,54,90,110,0,16.1,17.9,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",13-04-2000,10.29,1721,1654,0,0,0,66,75,57,50,40,0,21.9,25.9,,,,,,,,,,,,,1,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",14-04-2000,6.93,1419,1419,1.02,0,0,55,57,52,20,20,0,14.1,17,1,,,,,,,,,,1,,1,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",15-04-2000,4.47,1724,1923,0,0,0,66,77,54,100,120,0,12.1,14.1,1,,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",16-04-2000,5.14,1631,1508,0,0,0,71,83,59,130,100,0,15,17,1,1,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",17-04-2000,10.07,1430,2112,0,0,0,72,85,59,250,240,0,19.9,23.9,1,,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",18-04-2000,10.29,1507,1339,0,0,0,67,79,54,340,310,0,17.9,25.1,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",19-04-2000,4.92,1609,1029,0,0,0,65,78,51,90,80,0,14.1,16.1,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",20-04-2000,6.93,1729,1728,0,0,0,67,81,53,140,140,0,17,21,1,,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",21-04-2000,13.87,1739,1738,0,0,0,74,87,61,250,250,0,28,33.1,1,,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",22-04-2000,8.28,1346,817,0,0,0,63,76,50,290,310,0,21,23.9,,,,,,,1,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",23-04-2000,3.58,2359,2358,0,0,0,61,78,44,140,130,0,15,17,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",24-04-2000,8.05,1438,1509,0.91,0,0,71,84,57,220,350,0,25.9,32,1,1,1,,,,,,,,1,,1,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",25-04-2000,12.75,1215,1109,0,0,0,65,75,54,270,270,0,25.1,32,,,,,,,,,,,,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",26-04-2000,5.82,1600,1559,0,0,0,62,74,50,70,70,0,15,17,1,,,,,,,,,,1,,1,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",27-04-2000,6.04,1440,1440,0,0,0,65,80,50,290,270,0,21.9,25.1,1,1,,,,,,,,,1,,,,,,,
USW00013889,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",28-04-2000,10.96,1518,1536,0.38,0,0,69,78,60,260,250,0,23.9,30,1,,1,,,,,,,,1,,1,,,,,
